date_us_open,tag,side,entry_time,entry,tp,sl,exit_time,exit,reason,pips
2025-05-01,base,long,2025-05-02 13:15:00+00:00,1.13356,1.133196,1.132008,2025-05-02 13:15:00+00:00,1.133196,TP_samebar,-3.64
2025-05-01,reentry,long,2025-05-02 13:20:00+00:00,1.1339,1.134354,1.132338,2025-05-02 13:24:00+00:00,1.134354,TP,4.54
2025-05-02,base,short,2025-05-02 16:17:00+00:00,1.13326,1.131442,1.134583,2025-05-02 17:02:00+00:00,1.131442,TP,18.18
2025-05-02,reentry,short,2025-05-02 17:08:00+00:00,1.13098,1.128873,1.13371,2025-05-05 01:22:00+00:00,1.13381,SL,-28.3
2025-05-05,base,short,2025-05-06 13:39:00+00:00,1.13397,1.134001,1.134862,2025-05-06 13:39:00+00:00,1.134001,TP,-0.31
2025-05-06,base,long,2025-05-06 14:15:00+00:00,1.136,1.136733,1.134771,2025-05-06 14:16:00+00:00,1.136733,TP,7.33
2025-05-06,reentry,long,2025-05-06 18:58:00+00:00,1.13714,1.13845,1.135316,2025-05-06 22:04:00+00:00,1.135216,SL,-19.24
2025-05-06,base,short,2025-05-06 22:25:00+00:00,1.13264,1.131719,1.133681,2025-05-06 22:33:00+00:00,1.133781,SL,-11.41
2025-05-07,base,short,2025-05-07 15:21:00+00:00,1.13487,1.134275,1.135661,2025-05-07 15:36:00+00:00,1.134275,TP,5.95
2025-05-07,reentry,short,2025-05-07 16:03:00+00:00,1.13387,1.132974,1.135276,2025-05-07 16:41:00+00:00,1.135376,SL,-15.06
2025-05-12,base,short,2025-05-12 14:14:00+00:00,1.11168,1.110441,1.112598,2025-05-12 14:17:00+00:00,1.112698,SL,-10.18
2025-05-12,base,short,2025-05-12 14:20:00+00:00,1.11167,1.110441,1.112598,2025-05-12 14:35:00+00:00,1.112698,SL,-10.28
2025-05-12,base,short,2025-05-12 14:50:00+00:00,1.11165,1.110441,1.112598,2025-05-12 15:45:00+00:00,1.110441,TP,12.09
2025-05-12,reentry,short,2025-05-12 15:57:00+00:00,1.10994,1.108477,1.112106,2025-05-12 16:58:00+00:00,1.108477,TP,14.63
2025-05-14,base,short,2025-05-14 14:17:00+00:00,1.12102,1.119721,1.121933,2025-05-14 14:47:00+00:00,1.122033,SL,-10.13
2025-05-16,base,short,2025-05-16 14:02:00+00:00,1.11846,1.117785,1.119396,2025-05-16 14:02:00+00:00,1.119496,SL,-10.36
2025-05-16,base,short,2025-05-16 14:10:00+00:00,1.11849,1.117785,1.119396,2025-05-16 14:31:00+00:00,1.117785,TP,7.05
2025-05-16,reentry,short,2025-05-16 14:34:00+00:00,1.11734,1.116321,1.118948,2025-05-16 14:39:00+00:00,1.116321,TP,10.19
2025-05-16,base,long,2025-05-19 06:32:00+00:00,1.12122,1.121902,1.120291,2025-05-19 06:47:00+00:00,1.120191,SL,-10.29
2025-05-19,base,long,2025-05-19 14:46:00+00:00,1.12574,1.126377,1.12503,2025-05-19 14:49:00+00:00,1.12493,SL,-8.1
2025-05-19,base,long,2025-05-20 06:36:00+00:00,1.12575,1.126377,1.12503,2025-05-20 07:08:00+00:00,1.126377,TP,6.27
2025-05-19,reentry,long,2025-05-20 07:12:00+00:00,1.12702,1.127717,1.125338,2025-05-20 07:59:00+00:00,1.127717,TP,6.97
2025-05-21,base,short,2025-05-22 01:01:00+00:00,1.13188,1.131384,1.132725,2025-05-22 01:01:00+00:00,1.132825,SL,-9.45
2025-05-21,base,short,2025-05-22 06:49:00+00:00,1.13189,1.131384,1.132725,2025-05-22 07:11:00+00:00,1.131384,TP,5.06
2025-05-21,reentry,short,2025-05-22 07:30:00+00:00,1.13053,1.130115,1.132352,2025-05-22 07:30:00+00:00,1.130115,TP,4.15
2025-05-22,base,long,2025-05-23 11:55:00+00:00,1.13129,1.131821,1.130084,2025-05-23 11:56:00+00:00,1.131821,TP,5.31
2025-05-22,reentry,long,2025-05-23 11:57:00+00:00,1.1328,1.133375,1.130566,2025-05-23 12:09:00+00:00,1.130466,SL,-23.34
2025-05-22,base,long,2025-05-23 12:14:00+00:00,1.13098,1.131821,1.130084,2025-05-23 12:18:00+00:00,1.131821,TP,8.41
2025-05-30,base,long,2025-05-30 14:54:00+00:00,1.13472,1.135732,1.133455,2025-05-30 15:06:00+00:00,1.135732,TP,10.12
2025-05-30,reentry,long,2025-05-30 17:19:00+00:00,1.13629,1.137676,1.134087,2025-06-02 01:25:00+00:00,1.137676,TP,13.86
2025-06-03,base,short,2025-06-03 14:05:00+00:00,1.13738,1.137019,1.138648,2025-06-03 14:06:00+00:00,1.137019,TP,3.61
2025-06-03,reentry,short,2025-06-03 14:08:00+00:00,1.13646,1.135542,1.138195,2025-06-03 14:17:00+00:00,1.138295,SL,-18.35
2025-06-03,base,short,2025-06-04 01:00:00+00:00,1.13713,1.137019,1.138648,2025-06-04 01:23:00+00:00,1.138748,SL,-16.18
2025-06-03,base,long,2025-06-04 12:42:00+00:00,1.14053,1.141182,1.139553,2025-06-04 13:00:00+00:00,1.141182,TP,6.52
2025-06-06,base,long,2025-06-06 14:26:00+00:00,1.14124,1.142662,1.140164,2025-06-06 14:40:00+00:00,1.140064,SL,-11.76
2025-06-10,base,short,2025-06-10 23:15:00+00:00,1.14245,1.142552,1.143251,2025-06-10 23:15:00+00:00,1.142552,TP_samebar,-1.02
2025-06-10,reentry,short,2025-06-11 00:56:00+00:00,1.14214,1.141735,1.143068,2025-06-11 01:46:00+00:00,1.141735,TP,4.05
2025-06-10,base,short,2025-06-11 11:41:00+00:00,1.14266,1.142552,1.143251,2025-06-11 11:56:00+00:00,1.143351,SL,-6.91
2025-06-10,base,long,2025-06-11 12:30:00+00:00,1.14663,1.144315,1.143616,2025-06-11 12:30:00+00:00,1.144315,TP_samebar,-23.15
2025-06-10,reentry,long,2025-06-11 12:31:00+00:00,1.14668,1.145132,1.143798,2025-06-11 12:31:00+00:00,1.145132,TP,-15.48
2025-06-12,base,short,2025-06-13 00:33:00+00:00,1.15639,1.155121,1.157913,2025-06-13 00:36:00+00:00,1.155121,TP,12.69
2025-06-12,reentry,short,2025-06-13 00:39:00+00:00,1.15465,1.152666,1.157276,2025-06-13 04:15:00+00:00,1.152666,TP,19.84
2025-06-13,base,long,2025-06-15 22:21:00+00:00,1.15342,1.154723,1.152347,2025-06-16 05:12:00+00:00,1.154723,TP,13.03
2025-06-13,reentry,long,2025-06-16 05:16:00+00:00,1.15515,1.156739,1.153007,2025-06-16 06:51:00+00:00,1.156739,TP,15.89
2025-06-18,base,long,2025-06-18 18:00:00+00:00,1.15125,1.151217,1.150047,2025-06-18 18:00:00+00:00,1.151217,TP_samebar,-0.33
2025-06-18,base,long,2025-06-18 18:06:00+00:00,1.15131,1.151217,1.150047,2025-06-18 18:06:00+00:00,1.151217,TP,-0.93
2025-06-18,reentry,long,2025-06-18 18:08:00+00:00,1.15195,1.152362,1.150372,2025-06-18 18:35:00+00:00,1.150272,SL,-16.78
2025-06-18,base,long,2025-06-18 18:38:00+00:00,1.15121,1.151217,1.150047,2025-06-18 18:38:00+00:00,1.151217,TP,0.07
2025-06-18,base,long,2025-06-18 18:41:00+00:00,1.15097,1.151217,1.150047,2025-06-18 18:41:00+00:00,1.149947,SL,-10.23
2025-06-18,base,short,2025-06-18 18:48:00+00:00,1.14846,1.148227,1.149397,2025-06-18 18:48:00+00:00,1.149497,SL,-10.37
2025-06-19,base,short,2025-06-19 14:45:00+00:00,1.14654,1.146226,1.147243,2025-06-19 14:49:00+00:00,1.146226,TP,3.14
2025-06-19,reentry,short,2025-06-19 16:00:00+00:00,1.14573,1.145191,1.14696,2025-06-19 17:35:00+00:00,1.14706,SL,-13.3
2025-06-20,base,short,2025-06-22 21:00:00+00:00,1.14541,1.150228,1.151326,2025-06-22 21:00:00+00:00,1.150228,TP,-48.18
2025-06-20,reentry,short,2025-06-22 21:01:00+00:00,1.14541,1.149135,1.151021,2025-06-22 21:01:00+00:00,1.149135,TP,-37.25
2025-06-20,base,short,2025-06-23 06:34:00+00:00,1.15029,1.150228,1.151326,2025-06-23 07:00:00+00:00,1.151426,SL,-11.36
2025-06-24,base,long,2025-06-24 14:06:00+00:00,1.16001,1.160232,1.159323,2025-06-24 14:09:00+00:00,1.160232,TP,2.22
2025-06-24,reentry,long,2025-06-24 14:11:00+00:00,1.16083,1.161189,1.159576,2025-06-24 14:15:00+00:00,1.161189,TP,3.59
2025-06-24,base,long,2025-06-25 09:50:00+00:00,1.15999,1.160232,1.159323,2025-06-25 10:16:00+00:00,1.160232,TP,2.42
2025-07-01,base,short,2025-07-01 14:01:00+00:00,1.17871,1.177911,1.179702,2025-07-01 14:22:00+00:00,1.179802,SL,-10.92
2025-07-04,base,short,2025-07-07 06:07:00+00:00,1.17638,1.175938,1.177126,2025-07-07 06:30:00+00:00,1.175938,TP,4.42
2025-07-04,reentry,short,2025-07-07 06:33:00+00:00,1.17492,1.17478,1.176796,2025-07-07 07:29:00+00:00,1.17478,TP,1.4
2025-07-08,base,short,2025-07-08 14:05:00+00:00,1.16951,1.168646,1.170535,2025-07-08 14:22:00+00:00,1.168646,TP,8.64
2025-07-10,base,short,2025-07-11 00:08:00+00:00,1.16883,1.168237,1.169776,2025-07-11 00:19:00+00:00,1.168237,TP,5.93
2025-07-10,reentry,short,2025-07-11 00:21:00+00:00,1.16758,1.166825,1.169348,2025-07-11 00:34:00+00:00,1.166825,TP,7.55
2025-07-14,base,short,2025-07-14 15:54:00+00:00,1.16697,1.16694,1.167732,2025-07-14 15:54:00+00:00,1.167832,SL,-8.62
2025-07-14,base,long,2025-07-15 12:34:00+00:00,1.16899,1.168964,1.168172,2025-07-15 12:34:00+00:00,1.168964,TP_samebar,-0.26
